店铺id,店铺名称,风格标签,店铺评分,月销量,配送费用（元）,配置起步价（元）,配送时长（分钟）,店铺地址
161163580,超级物种（创投美食店）,日韩料理,4.7,1359,3,18,49,深圳市南山区粤海街道科园路深圳湾创业投资大厦一层
159287373,老班长手工灌汤包(南山茂业店),粤菜,4.8,75,8.5,20,33,深圳市南山区粤海街道海德二道258号茂业时代广场裙楼负一层B01006A铺位
2183104,妈妈手艺港点靓粥(欢乐颂店),粤菜,4.7,663,8.5,20,33,深圳市南山区南头街道南新路3030金福瑞购物广场（现称南山欢乐颂购物中心）负一层F01-1商铺
1408955,火胖子肥肠煲（田厦村店）,川湘菜,4.9,84,9,20,40,南山区南新路2122号一楼
313435,义泰昌现炒快餐（学府店）,盖浇饭,4.7,5942,6,20,48,深圳市南山区南山街道南新路西侧大陆庄园4#一层商场D、E
156244863,蛙奴炭烧牛蛙,火锅烤鱼,5,50,8.5,20,29,深圳市南山区南头街道常兴路126号常兴广场首层西8号9号商铺
997786,正宗冰城原味烧烤,烧烤,4.6,137,6,20,35,深圳市南山区南山街道南新路富嘉名阁107号
155827699,满记甜品（海岸城292店）,奶茶果汁,5,147,9,20,32,深圳市南山区粤海街道文心五路33号海岸城广场第292号
773462,港堡汉堡(南山店),炸鸡炸串,4.5,2541,6,20,47,深圳市南山区南头街道大新村3号5铺
2165747,绿茶餐厅(深圳欢乐颂店),江浙菜,4.7,2064,8.5,20,40,深圳市南山区南头街道南新路3030号南山欢乐颂311.312.313.314号商铺
2165747,绿茶餐厅(深圳欢乐颂店),江浙菜,4.7,2064,8.5,20,40,深圳市南山区南头街道南新路3030号南山欢乐颂311.312.313.314号商铺
150996968,陈记麻辣香锅,香锅砂锅,4.7,6875,6.5,20,35,深圳市南山区南山街道南山大道2015光大村C栋115铺
1388819,香港新君豪烧腊茶餐厅(常兴店),粤菜,4.8,2872,5.5,20,33,深圳市南山区南头街道常兴路房管综合楼一层南面B
155768891,米先生港式铁板炒饭（学府路店）,盖浇饭,4.7,6943,4,20,38,深圳市南山区南山街道学府路仓前锦福苑7栋1号
1405669,潮客汤粉王,米粉面馆,4.8,516,7,20,35,深圳市南山区南山街道丁头村199号101
552898,唐记烧鹅,简餐,4.8,2129,6,20,26,深圳市南山区粤海街道学府东路48-26
1783013,杨国福麻辣烫(深大店）,麻辣烫,4.5,1663,6,20,26,深圳市南山区粤海街道学府路桂庙新村68栋-1-3
161331048,鸡本煮意焖骚鸡（南山店）,小龙虾,4.6,72,8,20,32,深圳市南山区南头街道南山大道2068号南桥花园一层101号
1818871,钰记丰顺捆粄,盖浇饭,4.7,1091,7,20,36,深圳市南山区南山街道丁头村194号
423040,味满寿司藤本奶茶,日韩料理,5,65,0,0,39,深圳市南山区桂庙新村37号-1号商铺
156811373,老三潮汕牛肉粿汤(南新店),地方小吃,4.5,667,7,20,35,深圳市南山区南头街道田厦村南新路2219号铺
1095306,麦乐基炸鸡汉堡,汉堡,4.5,4651,6,20,49,深圳市南山区南山街道南新路南园村新三坊20-2店铺
1528941,沙县特色小吃,盖浇饭,4.7,950,6,20,31,深圳市南山区南山街道南光路75-9号
161717365,舌尖疯狂•现煲砂锅(后海店),川湘菜,4.3,1978,7.5,20,51,深圳市南山区粤海街道后海第一统建楼A-107铺
153761287,良好中药汤麻辣烫(深大店),麻辣烫,4.4,1714,2,20,44,深圳市南山区粤海街道桂庙新村学府城购物街（35-1）1楼20号
154723661,汉克斯炸鸡汉堡(南油店),汉堡,4.5,2917,4,60,39,深圳市南山区粤海街道南油B区南商路68-8-2号
450800,小橙都古法冒菜（南新店）,麻辣烫,4.9,807,6.5,20,37,深圳市南山区南头街道南新路2084号
156980281,京馔手工吐司,甜品,5,101,6.5,20,33,深圳市南山区南头街道学府路荔苑小区综合楼76-4#
538357,帅帅麻辣烫,麻辣烫,4.6,1802,2,18,49,深圳市南山区桂庙新村37号-1号商铺
161885583,粥员外(学府店),包子粥店,4.8,2105,5,20,38,深圳市南山区南头街道荔馨村A1栋121号铺
157424538,同仁四季（南山店）,简餐,4.9,1174,8,20,28,深圳市南山区桃源街道桃园路北侧田厦翡翠明珠花园1栋C5(A33-A42)
160132276,胖哥俩肉蟹煲(南山保利店),江浙菜,4.2,350,10,20,47,深圳市南山区粤海街道南山商业文化中心区保利文化广场（A）区（三）层 A3-09
98538,韩式紫菜饭团（深大店）,盖浇饭,4.6,582,1,15,38,深圳市南山区深圳大学西8栋芸香阁105号
1526225,顺盈布拉肠粉(田厦金牛店),盖浇饭,4.9,4034,5,20,29,深圳市南山区南头街道桃园路与南光路交汇处田厦金牛广场B座B一楼A2号铺位
161885583,粥员外(学府店),包子粥店,4.8,2105,5,20,38,深圳市南山区南头街道荔馨村A1栋121号铺
153225911,茶点鲜（南山店）,粤菜,4.5,301,9,20,35,深圳市南山区南山街道南新路丁头村2号
161316073,爽爽甜品（南头店）,炸鸡炸串,4.7,1174,5,20,38,深圳市南山区南山街道南新路丁头村154号-3
155166872,道味炸酱面(南山店),米粉面馆,4.6,569,6.5,20,34,深圳市南山区南山街道学府路荔芳二街11-12号铺
157473903,厉害了炒饭(深圳学府店),盖浇饭,4.6,1542,4.5,20,41,深圳市南山区南山街道南山大道2009号亿利达村4栋105
161624620,文和友老长沙臭豆腐,炸鸡炸串,4.6,84,8.5,20,34,深圳市南山区南头街道常兴路家乐福商场出口处商铺
763172,一品麻辣香锅,香锅砂锅,4.6,4961,6,20,35,深圳市南山区南头街道南新3083大新商厦B栋2F6号
157963952,福多多煲仔饭,煲仔饭,4.2,2899,3.5,20,43,深圳市南山区南头街道南新路3083号大新商厦B栋2楼22号
303198,湘味人家,川湘菜,4.1,1105,5,0,40,深圳市南山区南头街道马家龙荔园新村2栋A104号
2244597,云吞面世家,米粉面馆,4.5,1232,6.5,20,32,深圳市南山区南头街道南新路3083号大新商厦B栋1F56号
1875654,正新鸡排（学府店）,炸鸡炸串,4.8,1944,6.5,20,37,深圳市南山区南头街道桃苑单身公寓A110（学府路68-25号）
162172552,米多面多(南海大道店),盖浇饭,4.7,636,5,15,32,深圳市南山区粤海街道晶品居1楼139号
479345,香港维景茶餐厅,粤菜,4.8,498,7,20,36,深圳市南山区南头街道前海路西桃园路南港湾丽都花园商铺138-139号（原121号）
55249,陈记三及第(登良路店),米粉面馆,4.5,7497,3.5,20,44,深圳市南山区南山街道登良路39号
150877605,杭州小笼包(钰龙园店),包子粥店,4.9,1937,6.5,20,31,深圳市南山区南头街道南新路钰龙园B栋3058-48
156382831,老友记螺蛳粉(深大店),米粉面馆,4.8,760,4,25,31,深圳市南山区粤海街道学府路桂庙新村37号西部校园风味美食街E1铺
161535402,范小喵芝士焗饭,东南亚菜,4.4,3476,5,20,44,深圳市南山区南头街道大新新村34号101-3号
156382831,老友记螺蛳粉(深大店),米粉面馆,4.8,760,4,25,31,深圳市南山区粤海街道学府路桂庙新村37号西部校园风味美食街E1铺
1975363,汉克斯炸鸡汉堡(南山店),汉堡,4.4,2139,6,50,48,深圳市南山区南山街道大板桥巷22号102铺
455156,湘攸大碗菜,川湘菜,4.4,6104,3,20,41,深圳市南山区向南村西街8号一楼
161358561,撸骨,简餐,4.7,3496,6.5,20,46,深圳市南山区粤海街道南油兴南路9－2号
161607615,芝心年糕火锅,地方小吃,5,138,2,20,37,深圳市南山区粤海街道桂庙新村37栋A13-2
423070,一品香兰州拉面,米粉面馆,4.6,1669,0,15,48,深圳市南山区粤海街道桂庙新村74-3
473530,煌上煌(南山桂庙新村店),鸭脖卤味,5,57,8,20,26,深圳市南山区粤海街道桂庙新村88栋华城百货1号铺
611953,新旺角肠粉王(南新路店),粤菜,4.9,1648,6.5,20,33,深圳市南山区南新路3037号
384207,海底捞火锅外送(桃园路店),火锅烤鱼,5,119,38,158,37,深圳市南山区南头街道桃园路与南光路交汇处田夏金牛广场B1楼B-16号
159315528,楼下猪扒包（登良店）,汉堡,4.7,2945,7.5,20,49,深圳市南山区粤海街道后海居委会第二统建楼商业裙楼3号商铺
161878704,粥可温 (大新店),包子粥店,4.8,1085,5.5,15,40,深圳市南山区南头街道南新路3083号大新商厦B栋2楼09号
156543208,杨国福麻辣烫（桃园店）,米粉面馆,4.6,477,7,20,27,深圳市南山区南头街道桃园路与南光路交汇处田厦金牛广场B座负一楼A-5号铺位
803177,外婆香冒菜,麻辣烫,4.8,484,1,16,40,深圳市南山区粤海街道桂庙新村74-2
144704195,兰博烤蹄(桂庙路店),奶茶果汁,5,184,5.5,20,34,深圳市南山区南山街道桂庙路1-8旁边
155443262,解牛派汕头功夫牛肉（常兴店）,粤菜,4.5,752,4.5,20,35,深圳市南山区南头街道常兴广场1-2号
159422530,美瑶家酱骨头（桃园店）,盖浇饭,4.9,1516,8.5,20,32,深圳市南山区南头街道南新路3083号大新商厦B栋1F59号
965846,特色潮汕鱼粥（南新路店）,包子粥店,4.6,1255,6,20,32,深圳市南山区南山街道南新路2011-2号
1937522,杭州小笼包(学府店),地方小吃,4.3,2123,4.5,20,37,深圳市南山区南山街道仓前锦福苑06-07栋1-17号商铺
160240588,头号粥铺(学府店),包子粥店,4.7,3877,5.5,0,40,深圳市南山区南山街道南山大道2017号中兴之家C栋119号铺
157524561,青春在线烤肉拌饭(后海店),盖浇饭,4.5,3748,3.5,20,43,深圳市南山区粤海街道粤海街道兴南路浪漫满屋32栋109号
